"geolocation","count"
"apucarana, PR, Brasil",3751
"miracema, RJ, Brasil",3743
"varzea paulista, SP, Brasil",3730
"sao francisco do sul, SC, Brasil",3723
"pitangui, MG, Brasil",3718
"macapa, AP, Brasil",3718
"macaé, RJ, Brasil",3715
"santarem, PA, Brasil",3695
"pereira barreto, SP, Brasil",3667
"palmas, PR, Brasil",3648
"ananindeua, PA, Brasil",3646
"conchal, SP, Brasil",3629
"cachoeiras de macacu, RJ, Brasil",3626
"franco da rocha, SP, Brasil",3604
"tupa, SP, Brasil",3603
"campina grande, PB, Brasil",3598
"parnamirim, RN, Brasil",3595
"santa rosa, RS, Brasil",3593
"ibiruba, RS, Brasil",3591
"itaúna, MG, Brasil",3586
"jatai, GO, Brasil",3550
"esteio, RS, Brasil",3530
"rio do sul, SC, Brasil",3524
"marataizes, ES, Brasil",3504
"charqueadas, RS, Brasil",3468
"caxambu, MG, Brasil",3468
"mogi guacu, SP, Brasil",3450
"embu, SP, Brasil",3440
"mongaguá, SP, Brasil",3402
"bastos, SP, Brasil",3366
"mandaguari, PR, Brasil",3366
"agudos, SP, Brasil",3360
"cruzeiro, SP, Brasil",3354
"são luís, MA, Brasil",3354
"são josé do rio pardo, SP, Brasil",3344
"vargem grande do sul, SP, Brasil",3332
"paraiba do sul, RJ, Brasil",3332
"piumhii, MG, Brasil",3317
"araucaria, PR, Brasil",3310
"almenara, MG, Brasil",3304
"frederico westphalen, RS, Brasil",3304
"cataguases, MG, Brasil",3259
"bombinhas, SC, Brasil",3255
"lencois paulista, SP, Brasil",3249
"fernandópolis, SP, Brasil",3233
"alegrete, RS, Brasil",3230
"anapolis, GO, Brasil",3221
"guapore, RS, Brasil",3186
"nova granada, SP, Brasil",3173
"serra negra, SP, Brasil",3164
"aruja, SP, Brasil",3161
"armação dos búzios, RJ, Brasil",3161
"cajati, SP, Brasil",3152
"cacapava, SP, Brasil",3148
"peruíbe, SP, Brasil",3124
"claudio, MG, Brasil",3124
"ibirite, MG, Brasil",3101
"santa rita do passa quatro, SP, Brasil",3096
"veranopolis, RS, Brasil",3096
"castelo, ES, Brasil",3096
"barrinha, SP, Brasil",3080
"nova venecia, ES, Brasil",3078
"janauba, MG, Brasil",3078
"monte azul paulista, SP, Brasil",3078
"chapadao do sul, MS, Brasil",3066
"guanhaes, MG, Brasil",3042
"nova prata, RS, Brasil",3040
"olinda, PE, Brasil",3029
"juazeiro, BA, Brasil",3022
"campo novo do parecis, MT, Brasil",3008
"itapetinga, BA, Brasil",3006
"jales, SP, Brasil",2992
"ouro fino, MG, Brasil",2992
"iguape, SP, Brasil",2982
"balsas, MA, Brasil",2975
"campo mourao, PR, Brasil",2975
"iturama, MG, Brasil",2970
"viamao, RS, Brasil",2966
"penha, SC, Brasil",2958
"queimados, RJ, Brasil",2954
"umuarama, PR, Brasil",2939
"icara, SC, Brasil",2919
"eunapolis, BA, Brasil",2905
"sarzedo, MG, Brasil",2898
"estrela, RS, Brasil",2880
"laguna, SC, Brasil",2870
"fraiburgo, SC, Brasil",2865
"bambui, MG, Brasil",2862
"dourados, MS, Brasil",2858
"igrejinha, RS, Brasil",2856
"lagoa vermelha, RS, Brasil",2856
"dias d'avila, BA, Brasil",2850
"marília, SP, Brasil",2842
"braco do norte, SC, Brasil",2840
"itaborai, RJ, Brasil",2837
"bariri, SP, Brasil",2820
"camacari, BA, Brasil",2815
"olímpia, SP, Brasil",2812
"itatiaia, RJ, Brasil",2808
"pitangueiras, SP, Brasil",2791
"bom jesus dos perdoes, SP, Brasil",2790
"esmeraldas, MG, Brasil",2772
"jacareí, SP, Brasil",2745
"campos novos, SC, Brasil",2744
"itaocara, RJ, Brasil",2722
"são miguel do oeste, SC, Brasil",2720
"monte siao, MG, Brasil",2720
"santo antonio da patrulha, RS, Brasil",2720
"paraty, RJ, Brasil",2720
"lagoa da prata, MG, Brasil",2717
"campo largo, PR, Brasil",2701
"santo antonio de posse, SP, Brasil",2700
"sao sebastiao, SP, Brasil",2692
"brotas, SP, Brasil",2664
"petrolina, PE, Brasil",2655
"salto de pirapora, SP, Brasil",2652
"jaguariaiva, PR, Brasil",2641
"formosa, GO, Brasil",2628
"sao mateus do sul, PR, Brasil",2625
"itajubá, MG, Brasil",2614
"camaqua, RS, Brasil",2613
"posse, GO, Brasil",2601
"carmo do paranaiba, MG, Brasil",2576
"quirinopolis, GO, Brasil",2562
"cerqueira cesar, SP, Brasil",2556
"itajaí, SC, Brasil",2549
"cachoeira do sul, RS, Brasil",2544
"rio negro, PR, Brasil",2535
"dois irmaos, RS, Brasil",2520
"venda nova do imigrante, ES, Brasil",2505
"sao luiz gonzaga, RS, Brasil",2490
"pompeia, SP, Brasil",2482
"campo limpo paulista, SP, Brasil",2475
"laranjeiras do sul, PR, Brasil",2464
"nossa senhora do socorro, SE, Brasil",2464
"sapiranga, RS, Brasil",2455
"taquarituba, SP, Brasil",2448
"pontal, SP, Brasil",2444
"cruz alta, RS, Brasil",2443
"agua boa, MT, Brasil",2430
"jacutinga, MG, Brasil",2430
"aparecida de goiania, GO, Brasil",2426
"sao mateus, ES, Brasil",2420
"joao pinheiro, MG, Brasil",2416
"serrana, SP, Brasil",2405
"candido mota, SP, Brasil",2400
"mogi guaçu, SP, Brasil",2397
"chapecó, SC, Brasil",2395
"sao bento do sul, SC, Brasil",2389
"sapucaia do sul, RS, Brasil",2388
"indaial, SC, Brasil",2384
"guariba, SP, Brasil",2380
"caruaru, PE, Brasil",2379
"viradouro, SP, Brasil",2376
"alta floresta, MT, Brasil",2376
"são joão de meriti, RJ, Brasil",2363
"santa vitoria, MG, Brasil",2329
"descalvado, SP, Brasil",2327
"morrinhos, GO, Brasil",2324
"luís eduardo magalhães, BA, Brasil",2304
"palmeira das missoes, RS, Brasil",2304
"irece, BA, Brasil",2301
"garibaldi, RS, Brasil",2300
"santo anastacio, SP, Brasil",2295
"sao joao da barra, RJ, Brasil",2295
"santa rosa de viterbo, SP, Brasil",2282
"santo antonio do monte, MG, Brasil",2280
"imperatriz, MA, Brasil",2272
"bonfim paulista, SP, Brasil",2268
"andradas, MG, Brasil",2268
"campos do jordão, SP, Brasil",2262
"jardinopolis, SP, Brasil",2249
"são lourenço, MG, Brasil",2244
"juina, MT, Brasil",2244
"valparaiso de goias, GO, Brasil",2237
"sao joao nepomuceno, MG, Brasil",2235
"jequie, BA, Brasil",2234
"alegre, ES, Brasil",2227
"americo brasiliense, SP, Brasil",2227
"sao francisco de itabapoana, RJ, Brasil",2220
"guararema, SP, Brasil",2211
"taquara, RS, Brasil",2210
"salgueiro, PE, Brasil",2210
"farroupilha, RS, Brasil",2203
"bragança paulista, SP, Brasil",2201
"matozinhos, MG, Brasil",2196
"alvorada, RS, Brasil",2196
"marialva, PR, Brasil",2192
"tres marias, MG, Brasil",2184
"aracati, CE, Brasil",2178
"lapa, PR, Brasil",2175
"serrinha, BA, Brasil",2175
"mangaratiba, RJ, Brasil",2174
"itamaraju, BA, Brasil",2160
"casa branca, SP, Brasil",2158
"itaguai, RJ, Brasil",2158
"paulo afonso, BA, Brasil",2153
"francisco morato, SP, Brasil",2150
"itanhandu, MG, Brasil",2142
"palhoça, SC, Brasil",2135
"são josé dos pinhais, PR, Brasil",2133
"pirapozinho, SP, Brasil",2128
"dom pedrito, RS, Brasil",2120
"embu-guaçu, SP, Brasil",2116
"santa bárbara d'oeste, SP, Brasil",2114
"são joão da boa vista, SP, Brasil",2095
"espera feliz, MG, Brasil",2090
"fazenda rio grande, PR, Brasil",2089
"ipora, GO, Brasil",2085
"boa vista, RR, Brasil",2084
"sabara, MG, Brasil",2080
"joão monlevade, MG, Brasil",2079
"tietê, SP, Brasil",2072
"teófilo otoni, MG, Brasil",2071
"nova odessa, SP, Brasil",2069
"mirandopolis, SP, Brasil",2054
"santana do livramento, RS, Brasil",2021
"porto uniao, SC, Brasil",2016
"teixeira de freitas, BA, Brasil",2015
"capão da canoa, RS, Brasil",2014
"paraisopolis, MG, Brasil",2010
"eldorado do sul, RS, Brasil",2010
"santo antonio de jesus, BA, Brasil",1996
"jose bonifacio, SP, Brasil",1992
"teodoro sampaio, SP, Brasil",1992
"santa vitoria do palmar, RS, Brasil",1980
"pinheiral, RJ, Brasil",1974
"nova andradina, MS, Brasil",1969
"boa esperanca, MG, Brasil",1969
"manhumirim, MG, Brasil",1968
"pilar do sul, SP, Brasil",1968
"palotina, PR, Brasil",1950
"uruacu, GO, Brasil",1938
"são joaquim da barra, SP, Brasil",1938
"ivoti, RS, Brasil",1937
"cunha, SP, Brasil",1920
"rosario do sul, RS, Brasil",1918
"guaratuba, PR, Brasil",1917
"conceicao de macabu, RJ, Brasil",1911
"sao pedro, SP, Brasil",1908
"joão pessoa, PB, Brasil",1903
"alagoinhas, BA, Brasil",1893
"araxá, MG, Brasil",1890
"nova era, MG, Brasil",1890
"coxim, MS, Brasil",1881
"teutonia, RS, Brasil",1876
"conceicao do mato dentro, MG, Brasil",1860
